Package	EDA	Temperature	Thermistor	Timestamp	Unknown
33855.000000	0.030210	0.000000	0.000000	1736394797.191792	0.000000
33869.000000	0.030210	0.000000	0.000000	1736394797.292380	0.000000
33869.000000	0.030210	0.000000	0.000000	1736394797.292399	0.000000
33886.000000	0.030210	31.627000	24.822000	1736394797.395218	0.000000
33903.000000	0.030210	31.661000	24.789000	1736394797.496098	0.000000
33903.000000	0.030210	31.661000	24.789000	1736394797.496119	0.000000
33920.000000	0.030210	31.783000	24.789000	1736394797.597507	0.000000
33934.000000	0.030210	31.783000	24.789000	1736394797.702172	0.000000
33934.000000	0.030210	31.783000	24.789000	1736394797.702193	0.000000
33951.000000	0.030210	31.729000	24.789000	1736394797.800891	0.000000
33968.000000	0.030210	31.634000	24.789000	1736394797.904142	0.000000
33968.000000	0.030210	31.634000	24.789000	1736394797.904165	0.000000
33985.000000	0.030210	31.735000	24.876000	1736394798.001539	0.000000
33999.000000	0.030210	31.735000	24.876000	1736394798.110443	0.000000
33999.000000	0.030210	31.735000	24.876000	1736394798.110464	0.000000
34017.000000	0.030210	31.744000	24.869000	1736394798.208646	0.000000
34033.000000	0.030210	31.641000	24.688000	1736394798.309569	0.000000
34033.000000	0.030210	31.641000	24.688000	1736394798.309578	0.000000
34050.000000	0.030210	31.526000	24.687000	1736394798.411205	0.000000
34066.000000	0.030209	31.582000	24.687000	1736394798.514060	0.000000
34066.000000	0.030209	31.582000	24.687000	1736394798.514071	0.000000
34082.000000	0.030209	31.582000	24.760000	1736394798.616667	0.000000
34098.000000	0.030209	31.571000	24.760000	1736394798.712820	0.000000
34098.000000	0.030210	31.571000	24.760000	1736394798.712836	0.000000
34116.000000	0.030209	31.602000	24.749000	1736394798.826860	0.000000
34116.000000	0.030209	31.602000	24.749000	1736394798.826871	0.000000
34134.000000	0.030209	31.615000	24.749000	1736394798.912912	0.000000
34149.000000	0.030209	31.615000	24.749000	1736394799.014076	0.000000
34149.000000	0.030209	31.615000	24.749000	1736394799.014086	0.000000
34165.000000	0.030209	31.621000	24.745000	1736394799.175808	0.000000
34183.000000	0.030210	31.694000	24.745000	1736394799.230894	0.000000
34183.000000	0.030209	31.694000	24.745000	1736394799.230905	0.000000
34199.000000	0.030209	31.690000	24.731000	1736394799.322254	0.000000
34214.000000	0.030209	31.690000	24.731000	1736394799.422725	0.000000
34214.000000	0.030209	31.690000	24.731000	1736394799.422747	0.000000
34231.000000	0.030209	31.653000	24.731000	1736394799.530171	0.000000
34248.000000	0.030210	31.673000	24.750000	1736394799.624576	0.000000
34248.000000	0.030209	31.673000	24.750000	1736394799.624597	0.000000
34264.000000	0.030209	31.681000	24.750000	1736394799.726312	0.000000
34280.000000	0.030209	31.681000	24.750000	1736394799.828847	0.000000
34280.000000	0.030209	31.681000	24.750000	1736394799.828868	0.000000
34296.000000	0.030210	31.649000	24.694000	1736394799.933724	0.000000
34313.000000	0.030210	31.635000	24.686000	1736394800.033103	0.000000
34313.000000	0.030209	31.635000	24.686000	1736394800.033132	0.000000
34329.000000	0.030209	31.700000	24.688000	1736394800.138683	0.000000
