Package	PPG_Red	PPG_Infa_Red	PPG_Green	Timestamp	Unknown
33854.000000	1382.000000	1718.000000	292.000000	1736394797.191678	0.000000
33854.000000	1378.000000	1734.000000	282.000000	1736394797.191679	0.000000
33854.000000	1381.000000	1727.000000	276.000000	1736394797.191679	0.000000
33868.000000	1384.000000	1731.000000	289.000000	1736394797.292314	0.000000
33868.000000	1383.000000	1726.000000	300.000000	1736394797.292315	0.000000
33868.000000	1389.000000	1724.000000	304.000000	1736394797.292315	0.000000
33885.000000	1373.000000	1719.000000	282.000000	1736394797.395165	0.000000
33885.000000	1374.000000	1733.000000	277.000000	1736394797.395166	0.000000
33902.000000	1387.000000	1711.000000	282.000000	1736394797.496032	0.000000
33902.000000	1395.000000	1726.000000	276.000000	1736394797.496033	0.000000
33902.000000	1387.000000	1712.000000	284.000000	1736394797.496033	0.000000
33919.000000	1387.000000	1720.000000	281.000000	1736394797.597452	0.000000
33919.000000	1391.000000	1745.000000	290.000000	1736394797.597453	0.000000
33933.000000	1385.000000	1737.000000	275.000000	1736394797.702115	0.000000
33933.000000	1395.000000	1718.000000	293.000000	1736394797.702116	0.000000
33950.000000	1375.000000	1717.000000	285.000000	1736394797.800826	0.000000
33950.000000	1391.000000	1724.000000	285.000000	1736394797.800827	0.000000
33950.000000	1374.000000	1723.000000	280.000000	1736394797.800827	0.000000
33967.000000	1384.000000	1735.000000	291.000000	1736394797.904088	0.000000
33967.000000	1393.000000	1730.000000	286.000000	1736394797.904088	0.000000
33984.000000	1387.000000	1733.000000	291.000000	1736394798.001470	0.000000
33984.000000	1375.000000	1718.000000	279.000000	1736394798.001471	0.000000
33984.000000	1389.000000	1720.000000	283.000000	1736394798.001471	0.000000
33998.000000	1375.000000	1725.000000	302.000000	1736394798.110388	0.000000
33998.000000	1395.000000	1720.000000	278.000000	1736394798.110389	0.000000
34016.000000	1389.000000	1718.000000	290.000000	1736394798.208576	0.000000
34016.000000	1369.000000	1731.000000	288.000000	1736394798.208577	0.000000
34016.000000	1382.000000	1730.000000	292.000000	1736394798.208578	0.000000
34032.000000	1405.000000	1737.000000	289.000000	1736394798.309534	0.000000
34032.000000	1388.000000	1724.000000	280.000000	1736394798.309534	0.000000
34032.000000	1379.000000	1717.000000	284.000000	1736394798.309535	0.000000
34049.000000	1395.000000	1722.000000	277.000000	1736394798.411178	0.000000
34049.000000	1393.000000	1738.000000	283.000000	1736394798.411179	0.000000
34065.000000	1396.000000	1737.000000	288.000000	1736394798.514025	0.000000
34065.000000	1394.000000	1720.000000	280.000000	1736394798.514026	0.000000
34065.000000	1380.000000	1715.000000	280.000000	1736394798.514026	0.000000
34081.000000	1381.000000	1732.000000	275.000000	1736394798.616641	0.000000
34081.000000	1396.000000	1712.000000	266.000000	1736394798.616641	0.000000
34097.000000	1370.000000	1719.000000	287.000000	1736394798.712764	0.000000
34097.000000	1393.000000	1727.000000	300.000000	1736394798.712765	0.000000
34097.000000	1379.000000	1717.000000	289.000000	1736394798.712766	0.000000
34115.000000	1374.000000	1730.000000	286.000000	1736394798.826832	0.000000
34115.000000	1397.000000	1710.000000	290.000000	1736394798.826833	0.000000
34133.000000	1404.000000	1726.000000	282.000000	1736394798.912844	0.000000
34133.000000	1392.000000	1724.000000	292.000000	1736394798.912845	0.000000
34133.000000	1377.000000	1726.000000	285.000000	1736394798.912845	0.000000
34148.000000	1396.000000	1731.000000	277.000000	1736394799.014048	0.000000
34148.000000	1383.000000	1730.000000	286.000000	1736394799.014048	0.000000
34164.000000	1396.000000	1725.000000	291.000000	1736394799.175717	0.000000
34164.000000	1393.000000	1719.000000	295.000000	1736394799.175718	0.000000
34164.000000	1387.000000	1733.000000	294.000000	1736394799.175718	0.000000
34182.000000	1386.000000	1714.000000	273.000000	1736394799.230857	0.000000
34182.000000	1390.000000	1730.000000	275.000000	1736394799.230859	0.000000
34198.000000	1375.000000	1725.000000	283.000000	1736394799.322021	0.000000
34198.000000	1389.000000	1723.000000	287.000000	1736394799.322022	0.000000
34198.000000	1383.000000	1711.000000	287.000000	1736394799.322023	0.000000
34213.000000	1391.000000	1728.000000	290.000000	1736394799.422671	0.000000
34213.000000	1393.000000	1739.000000	287.000000	1736394799.422672	0.000000
34230.000000	1398.000000	1734.000000	291.000000	1736394799.530105	0.000000
34230.000000	1384.000000	1711.000000	291.000000	1736394799.530106	0.000000
34230.000000	1376.000000	1700.000000	284.000000	1736394799.530106	0.000000
34247.000000	1393.000000	1730.000000	278.000000	1736394799.624512	0.000000
34247.000000	1383.000000	1732.000000	290.000000	1736394799.624512	0.000000
34247.000000	1392.000000	1738.000000	292.000000	1736394799.624513	0.000000
34263.000000	1388.000000	1712.000000	290.000000	1736394799.726256	0.000000
34263.000000	1383.000000	1729.000000	285.000000	1736394799.726257	0.000000
34279.000000	1389.000000	1713.000000	270.000000	1736394799.828783	0.000000
34279.000000	1387.000000	1732.000000	290.000000	1736394799.828784	0.000000
34279.000000	1388.000000	1722.000000	261.000000	1736394799.828785	0.000000
34295.000000	1389.000000	1724.000000	295.000000	1736394799.933690	0.000000
34295.000000	1375.000000	1716.000000	286.000000	1736394799.933690	0.000000
34312.000000	1383.000000	1725.000000	285.000000	1736394800.033034	0.000000
34312.000000	1388.000000	1714.000000	281.000000	1736394800.033035	0.000000
34312.000000	1390.000000	1734.000000	287.000000	1736394800.033035	0.000000
34328.000000	1391.000000	1717.000000	278.000000	1736394800.138627	0.000000
34328.000000	1377.000000	1711.000000	287.000000	1736394800.138628	0.000000
